t_pfa,I_pfa,V_pfa
0.0,-0.09765625,-0.0336181640625
1e-06,0.0,0.0
2e-06,0.0,0.0
3e-06,0.0,0.0
4e-06,0.0,3.8008300781249997
5e-06,0.0,3.80181884765625
6e-06,0.0,3.8008300781249997
7e-06,0.0,3.7988525390624996
8e-06,0.0,3.79984130859375
9e-06,0.0,3.8008300781249997
1e-05,0.0,3.8008300781249997
1.1e-05,0.0,3.80181884765625
1.2e-05,0.0,3.8008300781249997
1.3e-05,0.0,3.7988525390624996
1.4e-05,0.0,3.7988525390624996
1.5e-05,0.0,3.8008300781249997
1.6e-05,0.0,3.8008300781249997
1.7e-05,0.0,3.8008300781249997
1.8e-05,0.0,3.8008300781249997
1.9e-05,-0.048828125,3.7988525390624996
2e-05,0.0,3.7988525390624996
2.1e-05,0.0,3.8008300781249997
2.2e-05,-0.048828125,3.80181884765625
2.3e-05,0.0,3.8008300781249997
2.4e-05,0.0,3.8008300781249997
2.5e-05,-0.048828125,3.7988525390624996
2.6e-05,0.0,3.7988525390624996
2.7e-05,0.0,3.8008300781249997
2.8e-05,0.0,3.8008300781249997
2.9e-05,-0.048828125,3.80181884765625
3e-05,0.0,3.80181884765625
3.1e-05,0.0,3.79984130859375
3.2e-05,0.0,3.7988525390624996
3.3e-05,0.0,3.7988525390624996
3.4e-05,0.0,3.79984130859375
3.5e-05,0.0,3.80181884765625
3.6e-05,0.0,3.8008300781249997
3.7e-05,0.0,3.79984130859375
3.8e-05,-0.048828125,3.7988525390624996
3.9e-05,-0.048828125,3.7988525390624996
4e-05,-0.048828125,3.8008300781249997
4.1e-05,0.0,3.80181884765625
4.2e-05,0.0,3.80181884765625
4.3e-05,0.0,3.8008300781249997
4.4e-05,0.0,3.7988525390624996
4.5e-05,-0.048828125,3.7988525390624996
4.6e-05,0.0,3.8008300781249997
4.7e-05,0.0,3.8008300781249997
4.8e-05,0.0,3.8008300781249997
4.9e-05,0.0,3.8008300781249997
5e-05,0.0,3.7988525390624996
5.1e-05,0.0,3.7988525390624996
5.2e-05,0.0,3.79984130859375
5.3e-05,0.0,3.8008300781249997
5.4e-05,0.0,3.8008300781249997
5.5e-05,0.0,3.8008300781249997
5.6e-05,0.0,3.7988525390624996
5.7e-05,-0.09765625,3.8008300781249997
